Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Hello	Hey, How can I help today?	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	1
Hi	Hey, How can I help today?	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	1
Why Matt Travels?	Matt Travel is a full-service travel agent, with years of experience in the travel industry. Our team of dedicated professionals is committed to providing personalized service and tailored travel experiences to meet the unique needs of each client. Whether you're planning a leisurely vacation, a business trip, or a special event.	Editorial	system_metadata_qna_edited_manually:true	[{"ClusterHead":"What is matt travel?","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"What is matt travel?","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	2
How can I Book a flight?	Our travel agents can help you book flights between any major airports and To Book you can also visit www.matttravels.com	Editorial	system_metadata_qna_edited_manually:true	[{"ClusterHead":"why matttravels?","TotalAutoSuggestedCount":8,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"why matttravels?","AutoSuggestedCount":8,"UserSuggestedCount":0}]}]	False	[]	3
What services do you provide?	Matt Travel is here to handle all the details, from booking flights and accommodations to arranging transportation and excursions. With our extensive network of partners and suppliers worldwide, we ensure seamless travel arrangements and unforgettable journeys for our clients	Editorial	system_metadata_qna_edited_manually:true	[{"ClusterHead":"how can i book a flight?","TotalAutoSuggestedCount":9,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"how can i book a flight?","AutoSuggestedCount":9,"UserSuggestedCount":0}]},{"ClusterHead":"what destinations do you offer?","TotalAutoSuggestedCount":6,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"what destinations do you offer?","AutoSuggestedCount":6,"UserSuggestedCount":0}]},{"ClusterHead":"can you arrange travel insurance?","TotalAutoSuggestedCount":9,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"can you arrange travel insurance?","AutoSuggestedCount":9,"UserSuggestedCount":0}]},{"ClusterHead":"why matt Travels?","TotalAutoSuggestedCount":8,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"why matt Travels?","AutoSuggestedCount":8,"UserSuggestedCount":0}]}]	False	[]	4
What destinations do you offer?	we can arrange travel anywhere in the world, but we specialize in trips to cultural heritage sites such as Machu Picchu in Peru, the Pyramids of Egypt, and the Great Wall of China.	Editorial	system_metadata_qna_edited_manually:true	[{"ClusterHead":"destination?","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"destination?","AutoSuggestedCount":2,"UserSuggestedCount":0}]},{"ClusterHead":"what services do you provide?","TotalAutoSuggestedCount":8,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"what services do you provide?","AutoSuggestedCount":8,"UserSuggestedCount":0}]}]	False	[]	5
How do I cancel a flight?	If you need to cancel your flight booking, simply contact our customer service team at least 24 hours before your scheduled departure time. We'll assist you in cancelling your flight and processing any applicable refunds or credits according to the airline's policies.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	6
How do I cancel a hotel?	To cancel your hotel reservation, you can either contact us directly or log in to your account on our website and navigate to your booking details. From there, you can easily initiate the cancellation process. Please note that cancellation policies vary depending on the hotel and booking terms, so be sure to review the cancellation policy for your reservation.	Editorial	system_metadata_qna_edited_manually:true	[{"ClusterHead":"how can i reserve a hotel?","TotalAutoSuggestedCount":4,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"how can i reserve a hotel?","AutoSuggestedCount":4,"UserSuggestedCount":0}]}]	False	[]	7
Can you arrange travel insurance?	Certainly Yes we can arrange travel insurance through our partnership with Humongous Insurance Corp., ensuring you have comprehensive coverage and peace of mind during your travels. for further details refer to www.bajajallianz.com	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	8
How can I reserve a hotel?	we partner with the best independent hotels all across the world and With our partnerships with the best independent hotels worldwide, we guarantee a memorable and personalized stay for you. for further details visit the website matttravels.com	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	9
Thanks	You're most welcome	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	10
Thank you	You're most welcome	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	10
What are your office hours?	Our Agents are available by phone on 555 444 456 Monday to Friday from 9:00 Am to 10:00 Pm	Editorial	system_metadata_qna_edited_manually:true	[{"ClusterHead":"what are the services you provide?","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"what are the services you provide?","AutoSuggestedCount":2,"UserSuggestedCount":0}]}]	False	[]	11
Goodbye	I hope I could help	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	12
